datadate,tic,name,current_assets,accounts_payable,long_term_debt,current_liabilities,preferred_stock,cost_of_goods_sold,nonoperating_income,operating_income,sales,income_taxes,interest_and_expense,depreciation_and_amortization,equity_in_net_loss,inventory_decrease,capital_expenditures,short_term_investments_change
20201231,LEAT,LEATT CORP,22.786,8.009,0.078,10.549,0.003,21.216,-0.005,5.836,38.693,1.618,0.0,0.832,0.0,-1.022,1.478,0.0
20201231,PZRIF,PIZZA PIZZA ROYALTY CORP,7.829,0.0,46.924,2.441,0.0,0.636,0.0,31.153,31.789,5.959,0.72,0.015,0.0,0.0,0.0,0.0
20201231,CRFQF,ZEDCOR INC,4.825,1.596,22.412,6.061,2.864,5.746,0.014,-0.698,13.762,-0.088,3.476,5.515,0.0,0.0,1.785,0.0
20201231,ERILF,DYNAMIC TECHNOLOGIES GRP INC,45.95,18.629,15.288,63.892,0.0,58.29,0.016,-9.838,69.776,0.115,6.882,5.198,0.0,-0.845,1.696,0.0
20201231,SPR,SPIRIT AEROSYSTEMS HOLDINGS,4485.0,558.9,3599.5,1709.4,0.0,3534.2,9.1,-651.7,3404.8,-220.2,200.3,298.0,-4.6,-39.5,118.9,0.0
20201231,ACCO,ACCO BRANDS CORP,728.2,180.2,1131.1,556.9,0.0,1128.3,5.3,119.1,1655.2,16.6,39.1,73.1,0.0,2.2,15.3,0.0
20201231,ATCO,ATLAS CORP,584.3,116.9,4705.0,854.6,0.3,448.0,-21.4,571.198,1421.1,16.6,228.0,474.0,0.0,-5.9,865.7,0.0
20201231,SCGY,SCIENTIFIC ENERGY INC,0.014,1.164,0.0,2.491,0.0,0.0,0.022,-0.473,0.0,0.0,0.011,0.001,0.0,0.0,0.0,0.0
20201231,BCUFF,BELL COPPER CORP,0.327,1.349,0.0,3.189,0.0,0.0,0.015,-1.534,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.0
20201231,BKD,BROOKDALE SENIOR LIVING INC,773.603,71.233,5210.296,690.733,0.0,2722.367,11.333,149.655,3424.446,5.352,208.779,365.654,-2.107,0.0,185.871,-103.269
20201231,TCRT,ALAUNOS THERAPEUTICS INC,130.589,0.96,3.995,18.368,0.0,79.233,0.385,-80.361,0.0,0.0,0.0,1.128,0.0,0.0,9.778,0.0
20201231,DHT,DHT HOLDINGS INC,118.279,2.811,446.562,47.929,0.0,222.752,-20.563,326.152,691.039,0.9,38.408,129.784,1.193,0.0,27.552,0.0
20201231,ARFXF,PROMIS NEUROSCIENCES INC,1.241,0.558,0.0,2.401,0.0,5.648,0.0,-5.662,0.002,0.0,0.0,0.016,0.0,0.0,0.109,0.0
20201231,DKLRF,DECKLAR RESOURCES INC,0.182,0.447,0.0,1.945,0.0,3.347,-0.181,-4.642,0.0,0.0,0.034,0.0,0.0,0.0,1.831,0.0
20201231,HPI.,HIGHBURY PROJECTS INC,0.129,0.0,0.0,0.017,0.0,0.048,0.0,-0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0
20201231,CTXXF,CEMATRIX CORP,8.105,1.16,10.177,15.873,0.0,19.065,-6.29,-1.817,26.564,0.201,1.872,2.649,0.0,-0.05,0.122,0.0
20201231,ISVLF,IMPACT SILVER CORP,22.979,2.589,0.017,2.651,0.0,10.899,-0.122,1.23,15.578,-1.201,0.008,1.492,0.0,-0.691,1.779,0.0
20201231,BPTH,BIO-PATH HOLDINGS INC,15.956,0.1,0.236,1.169,0.0,0.0,0.026,-10.908,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0
20201231,URG,UR ENERGY INC,5.082,0.396,12.77,3.584,0.0,8.705,-0.734,-13.341,8.316,0.0,0.71,4.91,0.0,-8.19,0.043,0.0
20201231,GLVMF,GOLDEN VY MINES & RYLTS LTD,15.256,0.147,0.06,7.599,0.0,0.0,18.219,-3.077,0.687,1.913,0.129,0.001,-0.507,0.0,0.289,-0.165
20201231,ET,ENERGY TRANSFER LP,6317.0,2809.0,52255.0,5923.0,0.0,28705.0,255.0,5872.0,38954.0,237.0,2719.0,3678.0,119.0,-271.0,5130.0,0.0
20201231,MISVF,MINCO SILVER CORP,43.155,0.409,0.046,1.275,0.0,0.0,1.975,-2.978,0.0,0.186,0.021,0.195,0.152,0.0,0.415,2.196
20201231,EVK,EVER-GLORY INTL GROUP INC,248.244,71.526,8.307,188.97,0.0,170.85,5.029,4.143,267.354,2.469,2.345,5.291,0.0,10.161,6.354,-1.665
20201231,AUSVF,GOLD79 MINES LTD,0.293,0.112,0.0,0.136,0.0,0.0,0.0,-0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.0
20201231,PBKOF,POLLARD BANKNOTE LTD,140.648,56.952,142.912,70.89,0.0,292.408,3.772,38.29,414.134,12.854,4.841,31.467,1.587,-4.753,12.957,0.0
20201231,LQSIF,ALCANNA INC,199.252,11.339,295.184,62.417,0.0,522.234,1.926,21.366,680.291,-11.496,21.877,33.923,0.0,-8.727,13.405,0.0
20201231,CLMT,CALUMET SPECIALTY PRODS  -LP,534.9,179.3,1364.2,544.5,0.0,1949.0,28.0,-51.0,2268.2,1.1,126.3,119.7,0.0,14.0,44.0,0.0
20201231,PERI,PERION NETWORK LTD,147.359,72.498,17.698,120.113,0.0,22.477,-1.205,11.875,328.063,-0.61,1.433,9.923,0.0,0.0,0.459,10.534
